ID;SEMANA;NOME
1;17/02/2025;Acolhimento
2;24/02/2025;Início da partida
3;06/03/2025;Avaliação e Rubrica
4;10/03/2025;Chutando no gol e hora de defender
5;17/03/2025;Escolhendo o lado do chute e iniciando com a tecla espaço
6;24/03/2025;Foi gol? E placar do jogo
7;31/03/2025;Apito final
8;07/04/2025;Revisão de código e compartilhamento
9;14/04/2025;Avaliação e rubrica
10;22/04/2025;Compartilhamento e Feedback
